Unnamed: 0.1,Unnamed: 0,Wavelength (nm),Sum,Intensity,Bi III (3.3e-02),Denoised,Normalized
397,397,222.75,212700000.0,212700000.0,,211259836.82983777,0.18078553886312695
398,398,222.78,279100000.0,279100000.0,,255870675.9906771,0.2179113482831181
399,399,222.8,310400000.0,310400000.0,,285201538.4615397,0.24232093193365636
400,400,222.82,327100000.0,327100000.0,,305681771.56177294,0.25936488908081773
401,401,222.85,329200000.0,329200000.0,,321686946.3869479,0.272684635614855
402,402,222.88,328800000.0,328800000.0,,335548951.0489526,0.28422080379598125
403,403,222.9,349000000.0,349000000.0,,376478321.67832345,0.31828283988966893
404,404,222.93,442800000.0,442800000.0,,469412121.2121234,0.3956237416765208
405,405,222.95,557200000.0,557200000.0,,608322144.5221473,0.5112267464382327
406,406,222.97,708700000.0,708700000.0,,783811888.1118916,0.6572719430368923
407,407,223.0,967000000.0,967000000.0,,960000000.0000042,0.8038983322075341
408,408,223.03,1182000000.0,1182000000.0,,1111344755.24476,0.9298497073805964
409,409,223.05,1255000000.0,1255000000.0,,1195638228.4382336,1.0
410,410,223.07,1253000000.0,1253000000.0,,1185910955.7109606,0.9919048177473867
411,411,223.1,1109000000.0,1109000000.0,,1082475524.475529,0.9058243005556768
412,412,223.12,944000000.0,944000000.0,,903636689.9766939,0.7569919402730336
413,413,223.15,657400000.0,657400000.0,,690554988.3449914,0.579662152390219
414,414,223.18,396100000.0,396100000.0,,481012237.76223993,0.40527753264728916
415,415,223.2,260800000.0,260800000.0,,297431850.8158522,0.2524991813043106
416,416,223.22,161000000.0,161000000.0,,161288575.7575766,0.13919870593320624
417,417,223.25,69210000.0,69210000.0,,70615415.38461581,0.06373914196091757
418,418,223.28,25750000.0,25750000.0,,28119115.85081606,0.02837308413227071
419,419,223.3,12290000.0,12290000.0,,8815308.531468626,0.0123081661639166
420,420,223.32,5501000.0,5501000.0,,-3368333.156177135,0.002168756822025947
421,421,223.35,1460000.0,1460000.0,,-5974338.608391614,0.0
422,422,223.38,335300.0,335300.0,,-2740166.8214452243,0.0026915262669859347
423,423,223.4,116000.0,116000.0,,-1008988.597296038,0.004132238749216501
424,424,223.43,20940.0,20940.0,,-683688.0708531484,0.004402958726157511
425,425,223.45,6169.0,6169.0,,-372194.4981515161,0.00466218834911929
426,426,223.47,1704.0,1704.0,,-98608.94147860166,0.004889870352600117
427,427,223.5,219.4,219.4,,-22178.68748111894,0.004953476756272588
428,428,223.53,24.44,24.44,,-8338.948132799089,0.004964994394925732
